job_title,salary,location,remote_location,company_size,experience_level,employment_type,skills,experience_level_value,company_size_value,employment_type_value,job_title_value,latitude,longitude,col_index,cost_tier
Data Analyst,65000,"Houston, TX",No,Huge,Sr,Freelance,"AWS, Python, Google Cloud, Power BI",3,4,1,4,29.758938,-95.367697,64.9,64.9
Data Analyst,65000,"Philadelphia, PA",1,Large,Pr,Contract,"Python, , Excel",4,3,3,4,39.952724,-75.163526,81.0,81.0
Data Analyst II,65000,"New Orleans, LA",Hybrid,Unknown,Jr,Part-time,"Python , Tableau , Azure , Google Cloud , SQL",1,0,5,5,29.956142,-90.073393,77.8,77.8
Senior Data Analyst,95000,"Huntsville, AL",False,Startup,Pr,Full-time,"Python, AWS",4,1,6,6,34.729847,-86.585901,60.5,60.5
Senior Data Analyst,65000,"Dallas, TX",1,Medium,Jr,Regular,"Tableau, Power BI, Python, , AWS",1,2,4,6,32.776272,-96.796856,75.0,75.0
Marketing Data Analyst,120000,"New York, NY",0,Large,Mi,Full-time,"Google Cloud, Azure, Excel, Python, SQL",2,3,6,3,40.712728,-74.006015,100.0,100.0
Data Analyst,95000,"Columbus, OH",False,Unknown,Mi,Temporary,", Azure, Excel, SQL, R",2,0,2,4,39.96226,-83.000707,73.5,73.5
Product Data Analyst,110000,"Fort Collins, CO",False,Large,Sr,Regular,"Excel , Azure , R , Google Cloud , Tableau",3,3,4,3,40.587178,-105.077011,66.1,66.1
BI Analyst,70000,"Chicago, IL",Temporarily Remote,Startup,Mi,Contract,"SQL, R, Tableau, Power BI, Google Cloud",2,1,3,3,41.875562,-87.624421,75.5,75.5
Data Analyst,110000,"New York, NY",0,Large,Jr,Part-time,"AWS, Azure, Excel",1,3,5,4,40.712728,-74.006015,100.0,100.0
Data Analyst,110000,"Detroit, MI",Partial,Startup,Mi,Full-time,"Python, AWS, R",2,1,6,4,42.331551,-83.04664,68.1,68.1
Senior Data Analyst,70000,"Jackson, MS",Partial,Large,Jr,Regular,"Azure,",1,3,4,6,32.299869,-90.183041,68.0,68.0
BI Analyst,70000,"Albuquerque, NM",Yes,Startup,Mi,Part-time,"Azure, SQL, Excel, Python",2,1,5,3,35.084103,-106.650985,63.4,63.4
Data Analyst,50000,"Phoenix, AZ",Hybrid,Huge,Jr,Part-time,", R, Python, Azure",1,4,5,4,33.448437,-112.074141,76.1,76.1
BI Analyst,120000,"Denver, CO",Yes,Startup,None,Contract,"SQL,Google Cloud,Python,Excel,Azure",0,1,3,3,39.739236,-104.984862,78.7,78.7
Senior Data Analyst,65000,"Denver, CO",True,Startup,Sr,Freelance,"Google Cloud, Tableau, Excel, SQL, Power BI",3,1,1,6,39.739236,-104.984862,78.7,78.7
Marketing Data Analyst,95000,"Houston, TX",Hybrid,Unknown,Mi,Full-time,"Google Cloud,",2,0,6,3,29.758938,-95.367697,64.9,64.9
Product Data Analyst,50000,"Denver, CO",Yes,Startup,Jr,Contract,", AWS , Google Cloud",1,1,3,3,39.739236,-104.984862,78.7,78.7
Marketing Data Analyst,95000,"Albuquerque, NM",Partial,Startup,Jr,Part-time,"R , Azure , Tableau",1,1,5,3,35.084103,-106.650985,63.4,63.4
BI Analyst,70000,"New Orleans, LA",False,Unknown,Mi,Contract,,2,0,3,3,29.956142,-90.073393,77.8,77.8
Data Analyst,95000,"Fort Collins, CO",No,Startup,Sr,Full-time,"R, , Power BI",3,1,6,4,40.587178,-105.077011,66.1,66.1
Data Analyst II,110000,"Albuquerque, NM",Partial,Large,Pr,Part-time,", AWS, Tableau, Python, Excel",4,3,5,5,35.084103,-106.650985,63.4,63.4
Data Analyst,110000,"Dallas, TX",Yes,Medium,Jr,Full-time,"Azure,Power BI,AWS",1,2,6,4,32.776272,-96.796856,75.0,75.0
Data Analyst,14000000,"Louisville, KY",1,Startup,Mi,Full-time,"Excel, Azure, R, Google Cloud",2,1,6,4,38.254238,-85.759407,70.0,70.0
Data Analyst,95000,"Jackson, MS",Temporarily Remote,Medium,Jr,Contract,"Excel, , AWS, Power BI, Python",1,2,3,4,32.299869,-90.183041,68.0,68.0
Senior Data Analyst,8090000,"Columbus, OH",Partial,Large,Pr,Regular,"Python, Tableau, , Power BI",4,3,4,6,39.96226,-83.000707,73.5,73.5
Marketing Data Analyst,8090000,"Houston, TX",Partial,Huge,Jr,Part-time,"Azure, Power BI, AWS, Google Cloud,",1,4,5,3,29.758938,-95.367697,64.9,64.9
Junior Data Analyst,110000,"Houston, TX",Partial,Startup,Jr,Part-time,"Power BI,Tableau,SQL,Python",1,1,5,1,29.758938,-95.367697,64.9,64.9
Junior Data Analyst,95000,"Jackson, MS",No,Startup,Jr,Contract,"Python, Google Cloud",1,1,3,1,32.299869,-90.183041,68.0,68.0
Senior Data Analyst,110000,"Orlando, FL",No,Startup,Mi,Part-time,", Tableau, Power BI, AWS",2,1,5,6,28.542122,-81.379045,72.2,72.2
Data Analyst,95000,"Dallas, TX",False,Large,Jr,Part-time,,1,3,5,4,32.776272,-96.796856,75.0,75.0
Data Analyst,70000,"Austin, TX",Hybrid,Large,Pr,Part-time,"Excel, Python, Power BI, AWS",4,3,5,4,30.271129,-97.7437,71.1,71.1
Junior Data Analyst,95000,"Detroit, MI",Hybrid,Unknown,Mi,Part-time,"AWS, Azure, Python, R, Power BI",2,0,5,1,42.331551,-83.04664,68.1,68.1
Data Analyst,8090000,"New Orleans, LA",Temporarily Remote,Medium,Jr,Part-time,"Google Cloud, SQL, Power BI",1,2,5,4,29.956142,-90.073393,77.8,77.8
Junior Data Analyst,90000,"Fort Collins, CO",False,Startup,Jr,Part-time,"AWS,Excel,Azure,Google Cloud",1,1,5,1,40.587178,-105.077011,66.1,66.1
Junior Data Analyst,120000,"Columbus, OH",True,Large,Pr,Contract,"AWS, SQL, R, , Power BI",4,3,3,1,39.96226,-83.000707,73.5,73.5
Data Analyst,95000,"Nashville, TN",Yes,Startup,None,Part-time,"Power BI, , Excel, Python, Tableau",0,1,5,4,36.162277,-86.774298,74.0,74.0
Data Analyst,70000,"Columbus, OH",Hybrid,Startup,Jr,Regular,"Excel,Azure,Google Cloud",1,1,4,4,39.96226,-83.000707,73.5,73.5
Data Analyst,70000,"San Francisco, CA",0,Unknown,Pr,Contract,"R, SQL, Excel, AWS, Azure",4,0,3,4,37.787936,-122.40752,94.0,94.0
Data Analytics Specialist,50000,"Jackson, MS",True,Startup,Jr,Full-time,"R,",1,1,6,2,32.299869,-90.183041,68.0,68.0
Junior Data Analyst,110000,"Philadelphia, PA",1,Small,Sr,Contract,"AWS, Google Cloud, Excel, Tableau, R",3,0,3,1,39.952724,-75.163526,81.0,81.0
Data Analyst,65000,"Santa Fe, NM",Yes,Unknown,Mi,Contract,"Power BI, AWS, Excel, R, SQL",2,0,3,4,35.68761,-105.938456,67.0,67.0
BI Analyst,65000,"Columbus, OH",False,Startup,Mi,Freelance,"R, Power BI, Tableau",2,1,1,3,39.96226,-83.000707,73.5,73.5
Data Analyst II,65000,"Chicago, IL",No,Startup,Jr,Part-time,"Azure,Python,Excel",1,1,5,5,41.875562,-87.624421,75.5,75.5
Product Data Analyst,95000,"New York, NY",0,Large,Pr,Temporary,"SQL, Power BI, Python",4,3,2,3,40.712728,-74.006015,100.0,100.0
Junior Data Analyst,110000,"Fargo, ND",No,Unknown,Jr,Contract,"AWS, Power BI, Google Cloud",1,0,3,1,46.877229,-96.789821,58.0,58.0
Data Analyst,70000,"Huntsville, AL",1,Small,Sr,Part-time,"SQL, Azure, Excel, AWS",3,0,5,4,34.729847,-86.585901,60.5,60.5
Senior Data Analyst,95000,"Detroit, MI",Hybrid,Small,Jr,Full-time,"Excel, , R, Tableau, AWS",1,0,6,6,42.331551,-83.04664,68.1,68.1
Marketing Data Analyst,70000,"Fargo, ND",Yes,Large,Jr,Temporary,"Google Cloud,Excel,AWS,Python",1,3,2,3,46.877229,-96.789821,58.0,58.0
Data Analyst,90000,"Austin, TX",Partial,Large,None,Full-time,"AWS,SQL",0,3,6,4,30.271129,-97.7437,71.1,71.1
Product Data Analyst,70000,"Las Vegas, NV",Partial,Unknown,None,Freelance,"Google Cloud, Excel",0,0,1,3,36.167426,-115.148413,71.3,71.3
Senior Data Analyst,110000,"Albuquerque, NM",Partial,Large,Sr,Full-time,"Tableau, Excel, SQL, Azure, Python",3,3,6,6,35.084103,-106.650985,63.4,63.4
Data Analyst,90000,"Fargo, ND",False,Large,Sr,Full-time,"AWS, Excel, Python",3,3,6,4,46.877229,-96.789821,58.0,58.0
Data Analyst II,65000,"Indianapolis, IN",Yes,Large,Jr,Temporary,"Power BI,Tableau",1,3,2,5,39.768333,-86.15835,69.7,69.7
Data Analyst,65000,"Houston, TX",1,Startup,Sr,Regular,"R,Tableau",3,1,4,4,29.758938,-95.367697,64.9,64.9
Senior Data Analyst,8090000,"Orlando, FL",Yes,Huge,Sr,Full-time,"Azure, Power BI, , Tableau",3,4,6,6,28.542122,-81.379045,72.2,72.2
