job_title,salary,location,remote_location,compnay_size,expereince_level,employment_type,skills
Sr.,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",120k,C2C,Large,Excel;R,Product Data Analyst,False
DATA ANALYST,65000Competitive,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",No,10000+,Sr.,Freelance,"['AWS', 'Python', 'Google Cloud', 'Power BI']"
Data Analyst,65000Competitive,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",1,Large,Principal,Contract,"['Python', '', 'Excel']"
Marketing Data Analyst,,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Yes,Unknown,EN,W2,Tableau | Azure | R | Python | 
Data Analyst II,"€65,000","['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Hybrid,Unknown,Entry-level,PT,Python and Tableau and Azure and Google Cloud and SQL
Senior Data Analyst,DOE,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Partial,1-10,MI,Part-time,"['Excel', 'R']"
Senior Data Analyst,95000,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",False,Startup,Principal,FT,"['Python', 'AWS']"
Sr. Data Analyst,"€65,000","['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",1,Medium,Junior,W2,"['Tableau', 'Power BI', 'Python', '', 'AWS']"
Marketing Data Analyst,120k,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",0,Large,MI,FT,"Google Cloud, Azure, Excel, Python, SQL"
DATA ANALYST,85k - 105k,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",False,Unknown,MI,Temporary,"['', 'Azure', 'Excel', 'SQL', 'R']"
Product Data Analyst,110000,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",False,501-1000,SE,W2,Excel and Azure and R and Google Cloud and Tableau
Marketing Data Analyst,,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",False,500,Senior,FT,"Tableau,Azure,,SQL,Power BI"
BI Analyst,70000 USD,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Temporarily Remote,1-10,MI,Contract,"['SQL', 'R', 'Tableau', 'Power BI', 'Google Cloud']"
DATA ANALYST,,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",1,501-1000,MI,Contract,"['AWS', 'Python', 'Google Cloud', 'Tableau', 'R']"
Data Analyst - Remote,110000,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",0,Large,0-5 yrs,PT,"['AWS', 'Azure', 'Excel']"
Junior Data Analyst,Negotiable,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Hybrid,501-1000,Sr.,Full-time,
Data Analyst,$50/hr,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",1,Medium,Entry-level,Part-time,"Excel,"
Data Analyst,110000,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Partial,Startup,5+ years,Full-time,"Python, AWS, R"
DATA ANALYST,DOE,"['New York, NY', 'San Francisco, CA', 'Dallas, TX', 'Remote', 'US', 'London, UK', 'Austin, TX', 'Anywhere', nan, 'Houston,TX', 'Huntsville,AL']",Hybrid,501-1000,MI,PT,"['Python', 'Power BI', 'AWS', 'Azure', '']"
